Nb.,Deck,Name,Pts,Description,Norwegians Note,Type,Shuffle,How Likely?,How Strong?,Final Score,,Rubric
53,(b),Farm Shop Owner,1,"At any time and any number of times, you can pay 1 silver to turn an orange good in your supply to its red side. This is considered a ""↑1 Good"" action.",,ANYTIME CARD,0.5326533903,3,4,7,,
100,(b),Undertaker,-1,"Each time you place 1 rune stone on an exploration board, you receive 1 silver. (This does not apply to your home board.)",,EACH TIME CARD,0.2386518565,3,4,7,,
22,A,Miner,1,"When you play this card, you immediately (and only once via this card) receive 1 stone, 1 ore, and 1 silver for each longship you have. (The amount of ore on the longships does not matter.)",,IMMEDIATE CARD,0.9261762793,3,4,7,,
27,A,Fisherman,1,"When you play this card, you immediately (and only once via this card) receive 1 stockfish for each whaling boat you have (so at most 3 stockfish). (The amount of ore on the whaling boats does not matter.)",,IMMEDIATE CARD,0.3757802074,4,3,7,,
79,A,Breeder,1,"When you play this card, you can immediately (and only once via this card) turn 1 non-pregnant cattle in your cattle stable to the ""pregnant cattle"" side. (This is not considered an Animal Breeding phase.)",,IMMEDIATE CARD,0.05429425735,3,4,7,,
83,A,Wholesaler,1,"When you play this card, you can immediately (and only once via this card) take a ""↑4 Goods"" action. Unlike the action space with the same illustration, the 4 goods must all be of the same type (i.e., they must be of the same shape and color). You can upgrade fewer than 4 goods. Pregnant and non-pregnant animals of one type are considered to be of the same type.",,IMMEDIATE CARD,0.4997000843,3,4,7,,
178,B,Boat Builder,0,"After you play this card, as soon as you have 4 large ships (knarrs and longships), you receive 2 whaling boats without paying wood or silver (only once via this card). (You only receive whaling boats for which you have room. The amount of ore in the longships does not matter.)",,AS SOON AS CARD,0.1854109686,4,3,7,,
73,C,Metalsmith,2,"When you play this card, you can immediately (and only once via this card) either receive 1 silverware at no cost, or buy the ""Crucifix"" special tile for 2 silver, or buy the ""Chalice"" special tile for 5 silver. (These are the printed costs.)",,IMMEDIATE CARD,0.5877648417,4,3,7,,
34,(a),Shepherd,0,"When you play this card, if you have at least 2 sheep, you immediately (and only once via this card) receive 1 milk and 1 wool. If you have at least 4 sheep, you receive 1 additional wool. (It does not matter whether or not the sheep are pregnant.)",,IMMEDIATE CARD,0.3196716599,3,3,6,,
47,(a),Tanner,2,"At any time and any number of times, you can exchange salt meat in your supply for hide at a 1:1 ratio.",,ANYTIME CARD,0.3014692864,3,3,6,,
113,(a),Craft Apprentice,0,"Immediately before each time you use a ""Crafting"" action space, you can take a ""Take 1 Building Resource from a Mountain Strip"" action. (As usual, the ""2 silver"" are considered a single item.)",,EACH TIME CARD,0.3118133408,3,3,6,,
57,(b),Bean Farmer,1,"At any time and any number of times, you can pay 2 beans in your supply to receive 1 peas, 1 mead, and 1 stockfish.",,ANYTIME CARD,0.4962252415,3,3,6,,
112,(b),Barkeeper,0,"Each time you use a ""Crafting"" action space, you also receive 1 mead.",,EACH TIME CARD,0.854336736,3,3,6,,
119,(b),Milkman,1,"Each time you use a ""Weekly Market"" action space, you also receive 1 milk. (The large action space in the fourth column also belongs to the ""Weekly Market"" category.)",,EACH TIME CARD,0.7825270526,3,3,6,,
69,(c),Equipment Supplier,1,"When you play this card, you can immediately (and only once via this card) take weapon cards until you have 2 of each type. (For instance, if you had 2 ""bow and arrow"" weapon cards and 1 snare, you would receive 1 snare, 2 spears, and 2 long swords.) Look through the discard pile (or the draw pile, if need be) and take the weapon cards from there.",,IMMEDIATE CARD,0.2252613924,3,3,6,,
118,(c),Messenger,0,"Each time you use a ""Weekly Market"" action space, you also receive 1 mead and 1 stone. (The large action space in the fourth column also belongs to the ""Weekly Market"" category.)",,EACH TIME CARD,0.3321293585,3,3,6,,4: Almost always played (85-100% of the time).
136,(c),Raider,2,"Each time you take a ""Raiding"" or ""Pillaging"" action (on an action space or via an occupation), you receive +1 on each of your dice rolls. Also, you can split your battle result to receive two goods. (Your battle result is the modified dice roll. This card can be combined with other cards modifying dice rolls.)","When a description mentions ""plundering"" or ""raiding,"" this does not include the new ""theft"" action.",EACH TIME CARD,0.6266522358,3,3,6,,
9,A,Ore Boatman,0,"Immediately before the Income phase (phase 7) of each round, you receive 1 ore for each longship you have, but only if you place it immediately in the placement area of your home board or exploration boards. (The amount of ore in the longships does not matter. If you receive more than one ore, you can place them on the same or different boards.)",,EACH TIME CARD,0.2487457506,3,3,6,,
20,A,Builder,0,"When you play this card, you can immediately (and only once via this card) play a Bonus phase for your houses only. You will also participate in the regular Bonus phase this round.",,IMMEDIATE CARD,0.107259708,3,3,6,,
23,A,Custodian,1,"When you play this card, you immediately (and only once via this card) receive 2 silver per (stone and long) house you have (sheds do not count).",,IMMEDIATE CARD,0.9106553772,3,3,6,,
24,A,Whaling Equipper,2,"When you play this card, you immediately (and only once via this card) receive 1 oil for each knarr you have and 1 wood for each whaling boat you have (from the general supply). (The amount of ore on the whaling boats does not matter.)",,IMMEDIATE CARD,0.01317618203,3,3,6,,5: 16+ Points (and should probably be banned)
32,A,Weapons Supplier,2,"When you play this card, you immediately (and only once via this card) receive a number of weapon cards from the draw pile. The number depends on the number of longships you have: if you have 0/1/2/3/4 longships, you receive 0/2/5/10/10 weapon cards, respectively. Draw the cards from the face-down draw pile and place them face up in front of you. (The amount of ore on the longships does not matter.)",,IMMEDIATE CARD,0.2053615448,3,3,6,,
43,A,Fruit Picker,0,"When you play this card, you immediately (and only once via this card) receive 1 fruit.",,IMMEDIATE CARD,0.4583590163,3,3,6,,
65,A,Dragon-slayer,0,"When you play this card, you can immediately (and only once via this card) exchange 2 snares and 2 spears for 1 treasure chest.",,IMMEDIATE CARD,0.368776889,2,4,6,,
68,A,Supplier of Weapons,2,"When you play this card, you can immediately (and only once via this card) draw 4 weapon cards from the face-down draw pile and place them face up in front of you.",,IMMEDIATE CARD,0.1952016883,3,3,6,,
86,A,Hide Buyer,3,"When you play this card, you can immediately (and only once via this card) pay 2/4/6 silver to receive 1/2/3 hides.",,IMMEDIATE CARD,0.8767075715,3,3,6,,
78,B,Traveling Merchant,0,"When you play this card, if you have 1/2/3/4 knarrs, you can immediately (and only once via this card) turn 2/4/6/7 goods tiles to the other side, respectively. Orange and green tiles are best suited for this. (This is not considered a ""^x Goods"" action.)",,IMMEDIATE CARD,0.4917545026,3,3,6,,
80,B,Shepherd Boy,0,"When you play this card, you can immediately (and only once via this card) pay 2 silver to receive 1 non-pregnant sheep in your sheep stable.",,IMMEDIATE CARD,0.1213835951,3,3,6,,
82,B,Longship Builder,1,"When you play this card, you can immediately (and only once via this card) buy a longship. The cost depends on the number of knarrs you have: if you have 1/2/3 knarrs, the longship only costs you 6/3/1 silver instead of 8, respectively. (In other words, you receive a discount of 2/5/7 silver.)",,IMMEDIATE CARD,0.3605132064,3,3,6,,
187,B,Chronicler,2,"Each time you take a Viking action (in phase 5), you can also pay 2 flax to takethe ""Belt"" special tile (unless another player already owns it). At any time and any number of times, you can exchange 3 flax for 1 treasure chest.",,ANYTIME CARD,0.2429321059,2,4,6,,
15,C,Cottager,1,"When you play this card, you immediately (and only once via this card) receive 2 mead per (stone and long) house you have (sheds do not count). Each time you build a stone or long house after this, you also receive 1 hide.",,EACH TIME CARD,0.3100634575,3,3,6,,
18,C,Fighter,0,"When you play this card, if you have at least 1 longship holding at least 2 ore, you immediately (and only once via this card) receive 1 blue good. Which one you receive depends on the number of longships you have holding 2 and 3 ore: you receive 1 silk/jewelry/silver hoard for 1/2/3 or more such longships. (You cannot take silk instead of jewelry, and you cannot take silk or jewelry instead of silver hoard. Also, you cannot discard or simply ignore a longship to receive another reward.)",,IMMEDIATE CARD,0.8553611295,3,3,6,,
63,C,Hornturner,2,"When you play this card, you can immediately (and only once via this card) discard 1 sheep from your sheep stable to receive 1 salt meat, 1 hide, and 1 wool. (It does not matter whether or not the sheep is pregnant.) and/or, if the Drinking Horn is still available for purchase, you can buy it for 3 silver.",,IMMEDIATE CARD,0.4566159219,3,3,6,,
85,C,Hornblower,0,"When you play this card, you can immediately (and only once via this card) pay1 silver to take a ""Hunting Game"" action, and/or pay 2 silver to take a ""Laying a Snare"" action. Failing one (or both) of these actions does not cause Vikings to return.",,IMMEDIATE CARD,0.1172835444,3,3,6,,
93,C,Helper in Time of Need,3,"In the Harvest phase (phase 2) of each round with no harvest, if you have exactly 1 boat, you receive 1 beans. If you have exactly 2 boats, you receive 1 grain. If you have 3 boats, you receive 1 cabbage. (The amount of ore on the whaling boats does not matter. You cannot take beans in place of grain, and you cannot take beans or grain in place of cabbage. Also, you cannot discard or simply ignore a whaling boat to receive another reward. Although you do receive a harvest good from this card, the round is still considered to have ""no harvest"", so this card does no trigger other cards that require a harvest.)",,EACH TIME CARD,0.3824401089,3,3,6,,
172,C,Fish Cook,0,"After the Feast phase (phase 9) of each round, you can immediately move any or all of the stockfish from your ""Banquet Table"" track to your (stone and long) houses.",,EACH TIME CARD,0.1058538194,2,4,6,,
181,C,Sail Patcher,1,"After you play this card, as soon as you have 3 (or 4) large ships (knarrs, longships), if your round income at that time is at most 4/9/30 silver, you immediately (and only that once) receive 3/2/1 wool. (The amount of ore on your longships does not matter.)",,AS SOON AS CARD,0.2955522844,3,3,6,,
182,C,Herb Gardener,1,"As soon as you have at least 2 houses (2 stone or long houses, or one of each; sheds do not count), you can use this card at any time (but only once) to exchange 2/5 wood for 1/2 spices.",,AS SOON AS CARD,0.879849652,3,3,6,,
183,C,Grain Deliveryman,2,"When you play this card, you immediately (and only once via this card) receive the following crops: If you have at least 1 knarr, you receive 1 peas, 1 beans, and 1 flax. If you have at least 2 knarrs, you also receive 1 grain. If you have at least 3 knarrs, you also receive 1 cabbage. With 4 knarrs, you also receive 1 fruits.",,IMMEDIATE CARD,0.1752414075,3,3,6,,
160,(a),Sober Man,2,"In the Feast phase (phase 9) of each round, if you do not place any mead on the ""Banquet Table"" track, you receive 1 silver (which you can use for the feast right away).",,EACH TIME CARD,0.6167004387,2,3,5,,
7,A,Miller,3,"Immediately after the Feast phase (phase 9) of each round, if you have 1 or 2 grain in your supply, you receive 1 and 2 silver, respectively. (Grain in your houses does not count.)",,EACH TIME CARD,0.6802180005,3,2,5,,
10,A,Milker,1,"When you play this card, if you have at least 1 sheep or cattle, you immediately (and only once via this card) receive 1 milk and 1 silver. If you have both, you receive 2 milk and 2 silver instead.",,IMMEDIATE CARD,0.4449636519,2,3,5,,
36,A,Ship's Cook,2,"Immediately before each time you take an ""Overseas Trading"" action (on an action space or via an occupation), you can take a ""↑1 Good"" action for 1 salt meat, game meat, or whale meat only. (Sheep and cattle are excluded from this. By the way, you can use an ""Overseas Trading"" action space and pay 1 silver, even if you do not turn a single green craft product to the other side.)",,EACH TIME CARD,0.9740561463,2,3,5,,
37,A,Foreign Trader,1,"Immediately before each time you take an ""Overseas Trading"" action (on an action space or via an occupation), you can take a ""↑1 Good"" action. (By the way, you can use an ""Overseas Trading"" action space and pay 1 silver, even if you do not turn a single green craft product to the other side.)",,EACH TIME CARD,0.9674827083,2,3,5,,
48,A,Farmer,3,"At any time and any number of times, you can discard 1 cattle from your cattle stable to receive 1 jewelry. (It does not matter whether or not the cattle is pregnant.)",,ANYTIME CARD,0.4531891554,2,3,5,,
58,A,Linseed Oil Presser,3,"At any time and any number of times, you can exchange 2 flax in your supply for 3 oil.",,ANYTIME CARD,0.06954855996,2,3,5,,
59,A,Linen Weaver,0,"At any time and any number of times, you can pay 2 flax from your supply and 1 silver to receive 2 linen.",,ANYTIME CARD,0.8329126207,2,3,5,,
64,A,Ship Builder,1,"When you play this card, you can immediately (and only once via this card) pay 2 silver to exchange 1 whaling boat for 1 longship. You lose the ore on the whaling boat, if any. (This is not considered a ""Ship Building"" action.)",,IMMEDIATE CARD,0.7102703522,3,2,5,,
76,A,Homecomer,1,"When you play this card, you can immediately (and only once via this card) move 1 Viking from each action space in the fourth column to your Thing Square. You can use these Vikings again later that round. (It does not matter whether or not there are still four Vikings on those action spaces.)",,IMMEDIATE CARD,0.2293692305,3,2,5,,
95,A,Wanderer,1,"In the Harvest phase (phase 2) of each round with no harvest, you can take a ""Take 2 Building Resources from a Mountain Strip"" action. (As usual, the ""2 silver"" are considered a single item.)",,EACH TIME CARD,0.773582141,2,3,5,,
122,A,Mountain Guard,0,"Each time you use an action space with the ""Take Building Resources from One or More Mountain Strips"" action, you can receive 1 additional good. If you took goods of 2 different types (like ore and silver), you receive 1 mead. If you took goods of 3 or 4 different types, you receive 1 hide or 1 chest, respectively. (The 4 different types would be wood, stone, ore, and silver.)",,EACH TIME CARD,0.4269108797,2,3,5,,
152,A,Merchant,1,"Each time you take a ""↑3 Goods"" or ""↑4 Goods"" action (on an action space or via an occupation), you can take another ""↑1 Good"" action for one of the exchanged goods. For instance, you could exchange a (orange) ""cabbage"" goods tile in your supply for a (green) ""skin and bones"" goods tile.",,EACH TIME CARD,0.4598517806,2,3,5,,
164,A,Armed Fighter,3,"Immediately before each time you place 4 Vikings in the fourth column, you can take a ""Take 1 Building Resource"" action to take 1 stone or 1 ore only.",,EACH TIME CARD,0.7823064654,3,2,5,,
30,B,Silk Merchant,3,"When you play this card, you immediately (and only once via this card) receive an amount of silver: if you have 1/2/3 silk in your supply, you receive 1/3/6 silver, respectively. (Silk on your boards does not count.)",,IMMEDIATE CARD,0.6539662198,2,3,5,,
72,B,Earl,2,"When you play this card, you can immediately (and only once via this card) buy a stone house for an amount of silver equal to the current round. (This is not considered a ""House Building"" action. In round 5, for instance, the stone house would cost 5 silver.)",,IMMEDIATE CARD,0.8730982039,2,3,5,,
144,B,Deerstalker,0,"Each time you take a ""Hunting Game"" action (on an action space or via an occupation), if you succeed, you can also buy 1 ""skin and bones"" goods tile for 2 silver.",,EACH TIME CARD,0.4180986668,2,3,5,,
39,C,Modifier,2,"At any time and any number of times, you can return ore from your whaling boats and longships to your supply. (Of course, you cannot remove the preprinted ore on your boats.)",,ANYTIME CARD,0.3640892739,2,3,5,,
92,C,Sympathetic Soul,1,"In the Harvest phase (phase 2) of each round with no harvest, if you then have 3/4/5 special tiles, you receive 1/2/3 silver, respectively. (The size of your special tiles does not matter, just like the fact whether they are in your supply or on your boards. Special tiles that you had to return do not count.)",,EACH TIME CARD,0.9301796169,2,3,5,,
111,C,Artist,1,"Each time you use a ""Crafting"" action space to exchange building resources (wood, stone, ore), you receive 1 silver for each type of building resource you exchange. (The number of building resources does not count, only the number of different types of building resources.)",,EACH TIME CARD,0.615437908,2,3,5,,
89,(a),Catapulter,1,"Each time you take a ""Raiding"" or ""Pillaging"" action (on an action space or via an occupation), for each stone you spend, you receive +2 instead of +1 on each of your dice rolls. (This card can be combined with other cards modifying dice rolls.)",,EACH TIME CARD,0.5267203975,2,2,4,,
137,(a),Melee Fighter,3,"Each time you take a ""Raiding"" or ""Pillaging"" action (on an action space or via an occupation), you can use spears instead of long swords.","When a description mentions ""plundering"" or ""raiding,"" this does not include the new ""theft"" action.",EACH TIME CARD,0.08248840374,2,2,4,,
153,(a),Proficient Hunter,2,"Each time you take an action requiring a dice roll, you can roll up to 4 times instead of just 3.",,EACH TIME CARD,0.1296203095,2,2,4,,
129,(b),Meat Curer,1,"Immediately after each time you take a ""Laying a Snare"" action (on an action space or via an occupation), if you succeed, you can discard 1 snare to receive 1 saltmeat. (You receive 1 snare on success and you discard 1 snare for the effect of this occupation: at the end of the day, this is a wash.)",,EACH TIME CARD,0.392772246,2,2,4,,
132,(b),Berserker,2,"Immediately before each time you take a ""Pillaging"" action (on an action space or via an occupation), you can return exactly 1 ore from the pillaging longship to the general supply to receive +3 on each of your dice rolls during that pillage. (This does not apply to raiding. This card can be combined with other cards modifying dice rolls. Tip: enclose the ore space on your home board as soon as possible.)","When a description mentions ""plundering"" or ""raiding,"" this does not include the new ""theft"" action.",EACH TIME CARD,0.4636600549,2,2,4,,
11,(c),Trident Hunter,1,"When you play this card, you immediately (and only once via this card) receive 1 spear. Look through the discard pile (or draw pile, if need be) and take the spear from there. Each time you take a ""Whaling"" action (on an action space or via an occupation), for each spear you spend, you receive -2 instead of -1 on each of your dice rolls. (This card can be combined with other cards modifying a dice rolls.)",,IMMEDIATE CARD,0.9964589302,2,2,4,,
116,(c),Master Bricklayer,2,"Each time you use a ""House Building"" action space to build a stone or long house, you receive a discount of 1 stone. (This effect does also apply to the action space in the fourth column that lets you build a house and buy a ship. If another card replaces the building cost of the shed with stone, this effect will also apply to the shed.)",,EACH TIME CARD,0.02319075372,2,2,4,,
131,(c),Bait Layer,1,"Each time you take a ""Laying a Snare"" action (on an action space or via an occupation), whether you succeed or not, you can exchange exactly 1 stockfish in your supply for 1 game meat.",,EACH TIME CARD,0.5428751908,2,2,4,,
151,(c),Thing Spokesman,3,"Each time you move exactly 1 or 2 Vikings from the game board to your Thing Square (due to a failed dice roll or another occupation), you also receive 1 silver.",,EACH TIME CARD,0.7104524279,2,2,4,,
33,A,Sheep Shearer,2,"When you play this card, if you have at least 3/4/6 sheep, you immediately (and only once via this card) receive 1/2/3 wool, respectively. (It does not matter whether or not the sheep are pregnant.)",,IMMEDIATE CARD,0.1668928626,2,2,4,,
38,A,Peacemaker,2,"In the New Weapon phase (phase 4) of each round, instead of drawing a weapon card, you can take either 1 wood, 1 stone, or 1 ore from the general supply.",,EACH TIME CARD,0.08086692716,2,2,4,,
54,A,Tradesman,3,"At any time and any number of times, you can exchange silverware in your supply for either silk or chest at a 1:1 ratio.",,ANYTIME CARD,0.3649035606,2,2,4,,
98,A,Nobleman,2,"Immediately after each time you place 1 grain in a stone or long house, you can buy exactly 1 silk for 2 silver.",,EACH TIME CARD,0.7470683961,2,2,4,,
140,A,Blubber Cook,2,"Each time you take a ""Whaling"" action (on an action space or via an occupation), if you succeed, you receive 1 additional oil (for a total of 2 oil).",,EACH TIME CARD,0.7191198096,2,2,4,,
147,A,Steersman,1,"If you have a knarr, you can take actions requiring a longship (raiding, pillaging, plundering, or a far exploration) even if you do not have a longship. (Even with this occupation, you still cannot place any ore on your knarrs.)",,EACH TIME CARD,0.4225836753,1,3,4,,
171,A,Flax Baker,2,"After the Harvest phase (phase 2) of each round with a harvest, you can immediately exchange 1 flax for 1 grain plus 1 silver.",,EACH TIME CARD,0.1397486902,2,2,4,,
186,A,Pea Flour Baker,3,"In the Feast phase (phase 9) of each round, you can place up to 2 peas horizontally on two (adjacent) spaces of the ""Banquet Table"" track. (Each peas you place after yoursecond must be placed ""inefficiently"", i.e., vertically. Tip: this occupation makes the acquisition of a long house worthwhile, because it can provide peas as a bonus good.)",,EACH TIME CARD,0.3039449627,2,2,4,,
25,B,Meat Trader,1,"When you play this card, you immediately (and only once via this card) receive 1 salt meat for each knarr you have.",,IMMEDIATE CARD,0.6997022525,2,2,4,,
29,B,Meat Preserver,3,"When you play this card, you immediately (and only once via this card) receive 1 salt meat for each pair of game meat and whale meat in your supply. (Goods on your boards do not count.)",,IMMEDIATE CARD,0.9753487989,2,2,4,,
166,B,Weapons Warden,1,"Immediately before each time you place 2 Vikings in the second column, you can draw 1 weapon card from the face-down draw pile and place it face up in front of you. The first time you do so in a round, you do not receive the weapon card.",,EACH TIME CARD,0.9154047216,2,2,4,,
173,B,Punchcutter,1,"Each time 1 ore and 2 silver are removed from a mountain strip during the Mountain Strips phase (phase 11), you receive 1 silver and 2 silver, respectively.",,EACH TIME CARD,0.96731973,2,2,4,,
103,C,Forest Blacksmith,3,"Immediately before each time you exchange 1 ore on the action space that lets you exchange 1 wood/ore for 1 chest and 1 silver, you can take a ""Take 1 Building Resource from a Mountain Strip"" action. (This does not apply if you exchange 1 wood.) This effect also applies to the action space that lets you exchange 1 ore for a blue good with a ""forge tongs"" symbol. (As usual, the ""2 silver"" on the mountain strips are considered a single item. Tip: enclose the ore space on your home board as soon as possible.)",,EACH TIME CARD,0.5405763042,2,2,4,,
168,C,Earl of Lade,2,"Each time the number of Vikings in your Thing Square becomes exactly 3 during the course of a round, you receive 1 silver. This can happen multiple times per round due to other occupations or failed dice rolls. (Whether you move Vikings from or to your Thing Square to end up with 3 Vikings does not matter.)",,EACH TIME CARD,0.01947482417,2,2,4,,
169,C,Sower,1,"In the Harvest phase (phase 2) of each round with a harvest, if you have at least 1 flax in your supply at the start of the Harvest phase (phase 2), you receive 2 flax instead of 1 during the harvest. If you have at least 1 grain in your supply, you can choose to receive 1 additional grain instead of the additional flax. (Even when you only receive peas, beans, and flax during the harvest, you can still receive grain via this card, if you meet the requirement. In rounds with no harvest, you do not receive the additional goods.)",,EACH TIME CARD,0.07628971762,2,2,4,,
